Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,int_rate,FICO.Score,annual_inc,home_ownership
14000,13900.25,10.37%,60,debt_consolidation,11.95,OH,RENT,4333.33,740-744,6.0,7419.0,0.0,9 years,10.37,740,51999.96,3
10000,10000.0,9.76%,36,credit_card,7.13,FL,RENT,2733.33,730-734,7.0,6112.0,2.0,3 years,9.76,730,32799.96,3
5200,5175.0,9.99%,60,debt_consolidation,10.29,AL,MORTGAGE,3750.0,760-764,10.0,16094.0,0.0,< 1 year,9.99,760,45000.0,0
22000,21975.0,21.98%,36,debt_consolidation,11.19,TX,MORTGAGE,6666.67,665-669,9.0,23124.0,0.0,10+ years,21.98,665,80000.04,0
30000,30000.0,19.05%,60,credit_card,21.25,FL,MORTGAGE,6250.0,695-699,12.0,34927.0,0.0,6 years,19.05,695,75000.0,0
6500,6500.0,17.99%,60,car,19.63,FL,RENT,4100.0,665-669,11.0,11697.0,1.0,2 years,17.99,665,49200.0,3
17400,17400.0,11.99%,36,credit_card,12.47,AZ,RENT,6833.33,695-699,7.0,26587.0,0.0,7 years,11.99,695,81999.96,3
4000,4000.0,16.82%,60,vacation,13.71,GA,MORTGAGE,4500.0,670-674,5.0,20804.0,0.0,3 years,16.82,670,54000.0,0
7200,7200.0,7.90%,36,debt_consolidation,24.82,TX,RENT,5416.67,705-709,8.0,12017.0,0.0,7 years,7.9,705,65000.04,3
8000,8000.0,14.42%,36,debt_consolidation,24.63,MA,RENT,2964.17,675-679,9.0,8928.0,2.0,6 years,14.42,675,35570.04,3
8000,8000.0,15.31%,36,debt_consolidation,15.46,CA,MORTGAGE,2916.67,675-679,13.0,7152.0,1.0,5 years,15.31,675,35000.04,0
3000,3000.0,8.59%,36,other,3.72,MA,MORTGAGE,4167.0,765-769,4.0,7074.0,0.0,5 years,8.59,765,50004.0,0
14500,14500.0,7.90%,36,debt_consolidation,4.85,GA,MORTGAGE,3958.33,760-764,4.0,9598.0,0.0,4 years,7.9,760,47499.96,0
23850,23850.0,21.00%,60,debt_consolidation,28.81,LA,MORTGAGE,5833.33,685-689,19.0,25968.0,3.0,9 years,21.0,685,69999.96,0
14000,14000.0,12.12%,36,debt_consolidation,14.93,CA,MORTGAGE,10583.33,685-689,9.0,35457.0,0.0,2 years,12.12,685,126999.96,0
35000,34975.0,16.49%,60,debt_consolidation,7.45,GA,MORTGAGE,10416.67,720-724,7.0,31414.0,0.0,8 years,16.49,720,125000.04,0
16000,16000.0,15.80%,60,car,11.94,WV,RENT,5250.0,685-689,14.0,154.0,1.0,3 years,15.8,685,63000.0,3
17350,7019.25,13.55%,36,debt_consolidation,18.52,NH,OWN,3666.67,675-679,8.0,18966.0,2.0,6 years,13.55,675,44000.04,2
8000,7975.0,7.90%,36,car,29.62,AL,MORTGAGE,5583.33,780-784,9.0,6065.0,1.0,10+ years,7.9,780,66999.96,0
7200,7200.0,7.90%,36,debt_consolidation,7.98,GA,RENT,5666.67,720-724,5.0,8783.0,0.0,3 years,7.9,720,68000.04,3
20125,20125.0,7.62%,36,home_improvement,4.29,VA,MORTGAGE,3750.0,830-834,13.0,73952.0,0.0,1 year,7.62,830,45000.0,0
12000,11875.0,8.90%,36,debt_consolidation,12.06,NY,RENT,5000.0,715-719,11.0,14717.0,0.0,4 years,8.9,715,60000.0,3
2400,1850.0,12.49%,36,home_improvement,20.56,MD,MORTGAGE,3448.33,660-664,10.0,18749.0,5.0,< 1 year,12.49,660,41379.96,0
3200,3200.0,17.27%,36,home_improvement,8.36,HI,MORTGAGE,2500.0,670-674,7.0,6619.0,1.0,3 years,17.27,670,30000.0,0
12725,12725.0,11.14%,36,debt_consolidation,22.15,TX,RENT,4416.67,720-724,23.0,4079.0,0.0,3 years,11.14,720,53000.04,3
5500,5500.0,19.13%,36,credit_card,3.58,DC,RENT,12000.0,660-664,2.0,0.0,1.0,8 years,19.13,660,144000.0,3
15650,15650.0,21.74%,36,house,13.86,MD,RENT,3700.0,660-664,5.0,10605.0,1.0,4 years,21.74,660,44400.0,3
9000,9000.0,17.27%,36,credit_card,25.22,CA,RENT,5166.67,675-679,14.0,5852.0,1.0,10+ years,17.27,675,62000.04,3
5000,5000.0,11.86%,36,major_purchase,4.0,TX,RENT,5577.0,715-719,3.0,1069.0,0.0,1 year,11.86,715,66924.0,3
3000,3000.0,10.38%,36,debt_consolidation,15.21,PA,RENT,3083.33,710-714,11.0,3098.0,0.0,2 years,10.38,710,36999.96,3
20000,19975.0,23.91%,60,debt_consolidation,9.47,CA,MORTGAGE,11250.0,670-674,5.0,11168.0,0.0,< 1 year,23.91,670,135000.0,0
5450,5450.0,7.49%,60,other,2.48,WA,MORTGAGE,4600.0,785-789,14.0,4326.0,0.0,10+ years,7.49,785,55200.0,0
14000,14000.0,12.12%,36,debt_consolidation,11.38,NY,MORTGAGE,4500.0,705-709,22.0,18583.0,0.0,5 years,12.12,705,54000.0,0
8800,8799.04,10.38%,60,credit_card,21.59,IL,RENT,3750.0,750-754,11.0,18694.0,1.0,2 years,10.38,750,45000.0,3
3000,3000.0,17.44%,36,other,15.79,MD,RENT,7952.0,660-664,4.0,12578.0,0.0,8 years,17.44,660,95424.0,3
32000,32000.0,17.27%,60,debt_consolidation,15.61,IL,RENT,9250.0,700-704,15.0,32566.0,1.0,2 years,17.27,700,111000.0,3
22250,22250.0,21.49%,60,debt_consolidation,28.87,HI,RENT,4166.67,665-669,15.0,14107.0,0.0,9 years,21.49,665,50000.04,3
7325,7300.0,17.80%,60,debt_consolidation,20.37,NY,OWN,3000.0,680-684,6.0,13583.0,0.0,5 years,17.8,680,36000.0,2
16450,16450.0,11.14%,36,debt_consolidation,7.57,NC,RENT,7500.0,725-729,5.0,2928.0,0.0,1 year,11.14,725,90000.0,3
2500,2500.0,12.98%,36,debt_consolidation,16.45,WI,RENT,1100.0,670-674,6.0,5019.0,1.0,4 years,12.98,670,13200.0,3
6000,6000.0,9.99%,36,other,7.5,FL,MORTGAGE,2625.0,715-719,4.0,5167.0,0.0,10+ years,9.99,715,31500.0,0
27575,27575.0,14.33%,36,debt_consolidation,19.63,CA,MORTGAGE,5166.67,690-694,6.0,8720.0,0.0,10+ years,14.33,690,62000.04,0
1000,1000.0,8.59%,36,educational,10.69,NY,OWN,4583.33,755-759,22.0,17069.0,1.0,< 1 year,8.59,755,54999.96,2
12000,12000.0,11.49%,36,debt_consolidation,12.85,IL,RENT,2708.33,705-709,8.0,12150.0,1.0,< 1 year,11.49,705,32499.96,3
30000,30000.0,10.16%,36,debt_consolidation,22.21,SD,MORTGAGE,8000.0,715-719,14.0,33218.0,0.0,10+ years,10.16,715,96000.0,0
13500,13500.0,14.33%,36,debt_consolidation,31.7,WV,RENT,4166.67,680-684,11.0,31168.0,0.0,1 year,14.33,680,50000.04,3
9000,9000.0,15.80%,36,debt_consolidation,22.65,OH,MORTGAGE,3250.0,665-669,9.0,16480.0,0.0,3 years,15.8,665,39000.0,0
15000,15000.0,9.91%,36,debt_consolidation,9.16,AK,MORTGAGE,4250.0,730-734,11.0,11615.0,1.0,10+ years,9.91,730,51000.0,0
5300,5300.0,7.90%,36,medical,12.82,CA,RENT,5500.0,725-729,8.0,9996.0,2.0,1 year,7.9,725,66000.0,3
7000,7000.0,13.11%,36,debt_consolidation,16.76,NJ,RENT,3650.0,685-689,12.0,6444.0,1.0,5 years,13.11,685,43800.0,3
20000,19975.0,16.29%,36,debt_consolidation,11.85,CA,RENT,9166.67,685-689,10.0,12421.0,3.0,< 1 year,16.29,685,110000.04,3
15000,14993.57,18.25%,60,debt_consolidation,13.65,CA,RENT,2916.67,705-709,4.0,12786.0,0.0,< 1 year,18.25,705,35000.04,3
8000,8000.0,14.09%,36,home_improvement,12.06,HI,RENT,5000.0,695-699,10.0,15360.0,1.0,6 years,14.09,695,60000.0,3
24000,23947.48,19.03%,60,debt_consolidation,3.63,CA,RENT,7500.0,695-699,6.0,8568.0,1.0,10+ years,19.03,695,90000.0,3
7500,7500.0,8.90%,36,debt_consolidation,10.02,DE,RENT,5500.0,715-719,9.0,2382.0,0.0,6 years,8.9,715,66000.0,3
17000,16875.0,11.83%,36,debt_consolidation,12.7,GA,RENT,4583.33,735-739,5.0,3644.0,1.0,6 years,11.83,735,54999.96,3
12000,12000.0,17.27%,36,credit_card,14.86,NJ,OWN,4583.33,665-669,12.0,9145.0,1.0,10+ years,17.27,665,54999.96,2
6000,6000.0,15.31%,36,other,15.91,MN,RENT,3833.33,670-674,11.0,5760.0,1.0,10+ years,15.31,670,45999.96,3
6725,825.0,13.12%,36,debt_consolidation,13.16,MO,MORTGAGE,5000.0,670-674,10.0,5513.0,9.0,10+ years,13.12,670,60000.0,0
4500,4500.0,6.76%,36,debt_consolidation,14.74,WV,MORTGAGE,2666.67,790-794,7.0,2705.0,0.0,7 years,6.76,790,32000.04,0
1600,1600.0,10.83%,36,other,5.36,RI,RENT,2427.0,700-704,5.0,7020.0,0.0,3 years,10.83,700,29124.0,3
10000,10000.0,17.77%,36,wedding,30.4,NY,OWN,2500.0,665-669,5.0,8379.0,0.0,8 years,17.77,665,30000.0,2
18550,18525.0,7.90%,36,debt_consolidation,16.93,GA,MORTGAGE,5416.67,725-729,10.0,28877.0,0.0,3 years,7.9,725,65000.04,0
7450,7450.0,13.06%,36,debt_consolidation,3.3,WA,MORTGAGE,5883.33,710-714,2.0,6416.0,1.0,10+ years,13.06,710,70599.96,0
3225,3225.0,7.62%,36,debt_consolidation,17.79,CA,MORTGAGE,5833.33,760-764,5.0,70323.0,1.0,10+ years,7.62,760,69999.96,0
23675,23675.0,17.77%,36,credit_card,29.94,PA,OWN,6399.0,680-684,21.0,21920.0,0.0,10+ years,17.77,680,76788.0,2
12000,12000.0,12.12%,36,debt_consolidation,18.62,VA,RENT,5833.33,690-694,16.0,18838.0,0.0,10+ years,12.12,690,69999.96,3
25000,25000.0,16.49%,36,debt_consolidation,18.18,MA,RENT,6000.0,695-699,9.0,10630.0,2.0,7 years,16.49,695,72000.0,3
16000,15850.0,11.12%,36,credit_card,17.86,CA,MORTGAGE,6666.67,725-729,7.0,18659.0,4.0,5 years,11.12,725,80000.04,0
4200,4175.0,8.90%,36,car,10.16,NC,MORTGAGE,3041.67,810-814,4.0,1548.0,0.0,10+ years,8.9,810,36500.04,0
10000,10000.0,14.09%,36,debt_consolidation,21.45,CO,RENT,4583.33,675-679,11.0,8548.0,0.0,6 years,14.09,675,54999.96,3
6000,6000.0,7.51%,36,home_improvement,2.52,NJ,MORTGAGE,4800.0,750-754,4.0,1442.0,0.0,10+ years,7.51,750,57600.0,0
6000,6000.0,13.11%,36,debt_consolidation,15.33,KS,RENT,3333.33,685-689,7.0,12503.0,2.0,2 years,13.11,685,39999.96,3
7925,7925.0,16.29%,36,debt_consolidation,21.25,GA,RENT,2000.0,665-669,6.0,7840.0,0.0,6 years,16.29,665,24000.0,3
16000,15925.0,7.62%,36,debt_consolidation,6.48,IL,MORTGAGE,6000.0,765-769,8.0,19539.0,0.0,n/a,7.62,765,72000.0,0
9525,9500.0,15.81%,36,small_business,11.35,CA,RENT,2666.67,670-674,15.0,5610.0,1.0,n/a,15.81,670,32000.04,3
6000,6000.0,14.35%,36,debt_consolidation,14.08,IL,MORTGAGE,2500.0,675-679,9.0,3621.0,3.0,< 1 year,14.35,675,30000.0,0
10000,9975.0,14.96%,36,debt_consolidation,11.5,FL,MORTGAGE,5250.0,675-679,4.0,3035.0,5.0,2 years,14.96,675,63000.0,0
7000,7000.0,6.62%,36,major_purchase,8.03,NM,MORTGAGE,10000.0,750-754,9.0,6761.0,1.0,6 years,6.62,750,120000.0,0
4500,4500.0,5.99%,36,debt_consolidation,18.48,CA,MORTGAGE,10000.0,765-769,18.0,17863.0,3.0,6 years,5.99,765,120000.0,0
12000,12000.0,11.14%,36,debt_consolidation,2.37,MD,MORTGAGE,12500.0,735-739,13.0,10944.0,0.0,5 years,11.14,735,150000.0,0
10375,10375.0,19.72%,36,debt_consolidation,4.99,CT,RENT,4166.67,665-669,9.0,6122.0,1.0,5 years,19.72,665,50000.04,3
4800,4800.0,18.75%,36,other,10.89,NM,MORTGAGE,5833.33,670-674,8.0,17943.0,0.0,10+ years,18.75,670,69999.96,0
6400,6400.0,13.11%,36,credit_card,11.46,LA,MORTGAGE,4666.67,700-704,7.0,8942.0,1.0,10+ years,13.11,700,56000.04,0
5000,5000.0,7.90%,36,debt_consolidation,17.22,CA,OWN,4000.0,705-709,10.0,6023.0,0.0,10+ years,7.9,705,48000.0,2
12000,12000.0,6.62%,36,credit_card,21.66,NC,RENT,5250.0,740-744,11.0,20639.0,0.0,< 1 year,6.62,740,63000.0,3
23850,23820.25,21.48%,60,other,18.75,NY,MORTGAGE,4250.0,690-694,23.0,37251.0,0.0,4 years,21.48,690,51000.0,0
15000,15000.0,10.65%,36,small_business,16.15,OH,MORTGAGE,7083.33,720-724,14.0,338.0,2.0,9 years,10.65,720,84999.96,0
8000,8000.0,7.62%,36,other,0.0,NC,MORTGAGE,3500.0,765-769,7.0,0.0,1.0,n/a,7.62,765,42000.0,0
20000,20000.0,6.03%,36,credit_card,18.67,FL,MORTGAGE,14583.33,715-719,9.0,29044.0,0.0,7 years,6.03,715,174999.96,0
20000,19975.0,13.11%,36,debt_consolidation,15.09,NC,RENT,8233.33,710-714,17.0,29756.0,2.0,< 1 year,13.11,710,98799.96,3
10000,10000.0,14.09%,36,debt_consolidation,10.59,CA,RENT,2916.67,690-694,9.0,10390.0,3.0,< 1 year,14.09,690,35000.04,3
18825,18825.0,14.09%,36,credit_card,13.08,MI,RENT,4000.0,710-714,6.0,20694.0,1.0,4 years,14.09,710,48000.0,3
35000,34975.0,7.90%,36,small_business,1.59,IL,RENT,18333.33,775-779,10.0,1992.0,0.0,1 year,7.9,775,219999.96,3
9000,9000.0,6.03%,36,vacation,5.58,NJ,MORTGAGE,9583.33,815-819,11.0,675.0,0.0,n/a,6.03,815,114999.96,0
4000,4000.0,6.17%,36,home_improvement,15.0,CT,RENT,4234.0,745-749,5.0,587.0,1.0,2 years,6.17,745,50808.0,3
5750,5750.0,13.99%,36,credit_card,12.44,CA,RENT,5000.0,660-664,13.0,12465.0,0.0,10+ years,13.99,660,60000.0,3
20950,20950.0,15.80%,36,debt_consolidation,15.71,MA,MORTGAGE,12916.67,690-694,8.0,30188.0,1.0,4 years,15.8,690,155000.04,0
8000,8000.0,10.99%,36,credit_card,14.76,NY,RENT,7500.0,710-714,9.0,7120.0,2.0,< 1 year,10.99,710,90000.0,3
10000,10000.0,10.16%,36,debt_consolidation,9.3,TX,MORTGAGE,3333.33,725-729,8.0,8940.0,2.0,n/a,10.16,725,39999.96,0
10000,10000.0,14.09%,36,small_business,14.76,NY,RENT,5000.0,675-679,7.0,4762.0,0.0,4 years,14.09,675,60000.0,3
14000,14000.0,6.03%,36,credit_card,19.53,CT,MORTGAGE,6000.0,765-769,13.0,4140.0,0.0,8 years,6.03,765,72000.0,0
5000,5000.0,7.66%,36,credit_card,3.33,RI,RENT,9000.0,735-739,3.0,12297.0,0.0,10+ years,7.66,735,108000.0,3
25000,25000.0,19.05%,60,debt_consolidation,10.53,IL,MORTGAGE,6250.0,700-704,8.0,15159.0,1.0,9 years,19.05,700,75000.0,0
35000,35000.0,8.90%,36,debt_consolidation,14.62,CA,RENT,10416.67,735-739,9.0,21321.0,0.0,10+ years,8.9,735,125000.04,3
7200,7175.0,11.14%,36,debt_consolidation,27.89,OK,MORTGAGE,3750.0,690-694,8.0,20342.0,0.0,10+ years,11.14,690,45000.0,0
14000,14000.0,8.49%,60,debt_consolidation,9.89,CA,MORTGAGE,9000.0,760-764,17.0,23773.0,0.0,4 years,8.49,760,108000.0,0
15000,14975.0,15.21%,36,debt_consolidation,19.1,TX,RENT,5132.0,680-684,4.0,34044.0,1.0,3 years,15.21,680,61584.0,3
25000,25000.0,19.72%,60,debt_consolidation,32.1,NY,OWN,4916.67,695-699,21.0,35208.0,1.0,7 years,19.72,695,59000.04,2
10800,10800.0,14.65%,36,debt_consolidation,7.89,CA,RENT,9583.33,675-679,6.0,6487.0,1.0,< 1 year,14.65,675,114999.96,3
20000,20000.0,14.33%,36,credit_card,21.44,GA,MORTGAGE,6250.0,700-704,9.0,14268.0,1.0,9 years,14.33,700,75000.0,0
4000,4000.0,10.74%,36,debt_consolidation,1.97,KS,RENT,2900.0,695-699,13.0,1869.0,1.0,n/a,10.74,695,34800.0,3
16000,15950.0,15.70%,36,debt_consolidation,23.51,OH,MORTGAGE,9333.33,675-679,20.0,12721.0,5.0,10+ years,15.7,675,111999.96,0
1400,1400.0,9.76%,36,vacation,27.14,NV,MORTGAGE,4683.33,730-734,6.0,6466.0,0.0,2 years,9.76,730,56199.96,0
7500,7500.0,16.32%,36,debt_consolidation,12.54,CA,MORTGAGE,4600.0,665-669,3.0,6120.0,0.0,2 years,16.32,665,55200.0,0
24625,917.28,14.07%,36,credit_card,12.81,NY,MORTGAGE,10000.0,675-679,14.0,33698.0,0.0,8 years,14.07,675,120000.0,0
5000,5000.0,14.09%,36,debt_consolidation,29.02,FL,MORTGAGE,5416.67,680-684,11.0,3977.0,1.0,< 1 year,14.09,680,65000.04,0
25000,24975.0,9.91%,36,debt_consolidation,20.49,NY,RENT,7916.67,725-729,14.0,27203.0,0.0,1 year,9.91,725,95000.04,3
7500,7500.0,16.40%,36,debt_consolidation,13.34,CA,RENT,4166.67,660-664,8.0,7430.0,0.0,< 1 year,16.4,660,50000.04,3
34500,34450.0,6.62%,36,small_business,16.46,CA,MORTGAGE,10000.0,805-809,8.0,5317.0,0.0,9 years,6.62,805,120000.0,0
10000,10000.0,5.79%,36,debt_consolidation,6.49,GA,MORTGAGE,12500.0,745-749,17.0,75629.0,0.0,1 year,5.79,745,150000.0,0
3200,3200.0,9.88%,36,debt_consolidation,6.51,MA,RENT,4500.0,740-744,7.0,3198.0,0.0,5 years,9.88,740,54000.0,3
5500,5500.0,15.99%,60,debt_consolidation,17.95,RI,RENT,4250.0,700-704,16.0,13256.0,0.0,10+ years,15.99,700,51000.0,3
3000,3000.0,9.76%,36,debt_consolidation,21.82,VA,OWN,1100.0,720-724,4.0,2413.0,0.0,n/a,9.76,720,13200.0,2
18000,18000.0,23.28%,60,debt_consolidation,9.05,WI,RENT,7083.33,660-664,6.0,13106.0,0.0,10+ years,23.28,660,84999.96,3
10000,9700.0,9.63%,36,debt_consolidation,13.77,OK,MORTGAGE,4190.0,735-739,6.0,1251.0,1.0,< 1 year,9.63,735,50280.0,0
8800,8800.0,13.11%,36,credit_card,16.73,WI,RENT,3150.25,700-704,13.0,14266.0,1.0,4 years,13.11,700,37803.0,3
7000,7000.0,11.14%,36,debt_consolidation,23.02,TX,MORTGAGE,6000.0,705-709,17.0,19634.0,2.0,6 years,11.14,705,72000.0,0
8000,8000.0,13.11%,36,debt_consolidation,19.01,AK,RENT,2625.0,725-729,8.0,7554.0,1.0,5 years,13.11,725,31500.0,3
3000,3000.0,17.27%,36,credit_card,16.62,SC,RENT,3833.33,660-664,4.0,4136.0,0.0,n/a,17.27,660,45999.96,3
12000,11975.0,7.51%,36,debt_consolidation,11.91,MD,RENT,7500.0,735-739,18.0,33702.0,1.0,10+ years,7.51,735,90000.0,3
3600,3575.0,14.11%,36,small_business,0.04,WI,RENT,2500.0,725-729,4.0,1.0,0.0,3 years,14.11,725,30000.0,3
11625,11625.0,14.33%,36,debt_consolidation,22.84,NY,MORTGAGE,2833.33,705-709,6.0,27411.0,2.0,8 years,14.33,705,33999.96,0
30000,30000.0,21.49%,36,credit_card,16.7,MD,MORTGAGE,12500.0,670-674,14.0,19096.0,2.0,9 years,21.49,670,150000.0,0
16000,16000.0,8.90%,36,debt_consolidation,19.71,CO,RENT,7083.33,720-724,11.0,6185.0,1.0,4 years,8.9,720,84999.96,3
10800,10700.0,10.75%,36,major_purchase,15.32,FL,MORTGAGE,8400.0,715-719,6.0,24675.0,0.0,10+ years,10.75,715,100800.0,0
25000,23655.48,16.69%,60,debt_consolidation,14.11,CO,MORTGAGE,7666.67,705-709,15.0,28748.0,3.0,8 years,16.69,705,92000.04,0
10000,10000.0,13.98%,60,other,14.86,MO,RENT,3916.67,710-714,9.0,5188.0,4.0,4 years,13.98,710,47000.04,3
12375,275.0,10.91%,36,small_business,16.39,VA,MORTGAGE,3892.75,690-694,11.0,8332.0,2.0,3 years,10.91,690,46713.0,0
6000,6000.0,11.48%,36,credit_card,18.2,NY,MORTGAGE,5031.67,705-709,9.0,50935.0,0.0,10+ years,11.48,705,60380.04,0
8000,8000.0,13.49%,36,debt_consolidation,14.92,CO,RENT,5000.0,685-689,18.0,4786.0,1.0,2 years,13.49,685,60000.0,3
15000,15000.0,18.25%,36,credit_card,9.73,GA,MORTGAGE,5000.0,660-664,11.0,14596.0,0.0,8 years,18.25,660,60000.0,0
7000,7000.0,17.77%,36,other,32.25,NY,RENT,3333.33,665-669,12.0,35604.0,3.0,7 years,17.77,665,39999.96,3
8400,8400.0,6.92%,36,renewable_energy,13.3,MD,RENT,3000.0,745-749,9.0,6998.0,1.0,1 year,6.92,745,36000.0,3
15000,15000.0,7.90%,36,debt_consolidation,18.62,PA,MORTGAGE,4500.0,740-744,10.0,17212.0,0.0,7 years,7.9,740,54000.0,0
15000,14925.0,14.33%,36,debt_consolidation,13.3,TX,RENT,5000.0,665-669,7.0,11368.0,1.0,< 1 year,14.33,665,60000.0,3
2800,2800.0,10.16%,36,major_purchase,12.0,NY,RENT,2083.33,695-699,7.0,7261.0,0.0,< 1 year,10.16,695,24999.96,3
7750,7750.0,16.29%,36,debt_consolidation,26.74,FL,MORTGAGE,2916.67,680-684,18.0,17102.0,0.0,5 years,16.29,680,35000.04,0
4500,4500.0,8.90%,36,credit_card,18.18,UT,RENT,2166.67,700-704,8.0,5361.0,0.0,4 years,8.9,700,26000.04,3
17500,17375.0,12.53%,36,debt_consolidation,21.63,CO,RENT,3666.67,715-719,7.0,20010.0,0.0,6 years,12.53,715,44000.04,3
18000,18000.0,15.31%,60,debt_consolidation,4.93,CA,RENT,5258.5,710-714,6.0,11596.0,0.0,10+ years,15.31,710,63102.0,3
15000,14975.0,15.27%,60,debt_consolidation,17.9,PA,MORTGAGE,2748.0,720-724,14.0,7956.0,1.0,6 years,15.27,720,32976.0,0
6000,6000.0,15.23%,36,credit_card,19.57,KS,OWN,4583.33,665-669,13.0,8077.0,1.0,1 year,15.23,665,54999.96,2
11500,11475.0,11.14%,36,credit_card,28.25,CA,RENT,2750.0,700-704,6.0,9079.0,0.0,5 years,11.14,700,33000.0,3
10000,10000.0,13.11%,36,credit_card,7.56,PA,RENT,2500.0,685-689,8.0,10906.0,0.0,7 years,13.11,685,30000.0,3
12000,12000.0,8.90%,36,credit_card,12.46,MD,RENT,5000.0,725-729,5.0,13940.0,0.0,10+ years,8.9,725,60000.0,3
10000,10000.0,12.12%,36,debt_consolidation,18.4,CA,MORTGAGE,5000.0,685-689,7.0,13202.0,0.0,10+ years,12.12,685,60000.0,0
35000,34975.0,21.28%,60,debt_consolidation,18.21,AL,RENT,7916.67,680-684,8.0,19789.0,2.0,10+ years,21.28,680,95000.04,3
7200,7100.0,10.38%,60,major_purchase,17.97,PA,RENT,3000.0,750-754,7.0,2753.0,1.0,2 years,10.38,750,36000.0,3
4000,3975.0,7.90%,60,car,4.48,TX,OWN,4000.0,800-804,16.0,6696.0,0.0,< 1 year,7.9,800,48000.0,2
5300,5200.0,11.14%,36,debt_consolidation,8.47,UT,MORTGAGE,8333.33,740-744,5.0,73258.0,1.0,3 years,11.14,740,99999.96,0
1200,1200.0,7.62%,36,other,8.69,NY,MORTGAGE,3833.33,730-734,14.0,350.0,1.0,7 years,7.62,730,45999.96,0
2500,2500.0,11.14%,36,major_purchase,10.08,CA,RENT,4333.33,720-724,4.0,4922.0,0.0,3 years,11.14,720,51999.96,3
17000,16975.0,14.33%,36,debt_consolidation,26.35,MN,OWN,7500.0,700-704,21.0,39130.0,3.0,10+ years,14.33,700,90000.0,2
16000,16000.0,7.90%,36,credit_card,12.3,CA,MORTGAGE,8416.67,695-699,14.0,21913.0,1.0,5 years,7.9,695,101000.04,0
10000,9950.0,12.69%,36,debt_consolidation,3.8,CA,MORTGAGE,6666.67,695-699,8.0,7967.0,1.0,3 years,12.69,695,80000.04,0
5000,5000.0,10.16%,36,debt_consolidation,24.5,AL,MORTGAGE,6250.0,700-704,9.0,33705.0,0.0,6 years,10.16,700,75000.0,0
4375,4375.0,19.05%,36,credit_card,9.09,CA,RENT,2916.67,670-674,9.0,6944.0,2.0,6 years,19.05,670,35000.04,3
