,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,IR_TF,Intercept
75,6725,825.0,13.12,36,debt_consolidation,13.16,MO,MORTGAGE,5000.0,670,10.0,5513.0,9.0,10+ years,1.0,1
76,4500,4500.0,6.76,36,debt_consolidation,14.74,WV,MORTGAGE,2666.67,790,7.0,2705.0,0.0,7 years,0.0,1
77,1600,1600.0,10.83,36,other,5.36,RI,RENT,2427.0,700,5.0,7020.0,0.0,3 years,0.0,1
78,10000,10000.0,17.77,36,wedding,30.4,NY,OWN,2500.0,665,5.0,8379.0,0.0,8 years,1.0,1
79,18550,18525.0,7.9,36,debt_consolidation,16.93,GA,MORTGAGE,5416.67,725,10.0,28877.0,0.0,3 years,0.0,1
80,7450,7450.0,13.06,36,debt_consolidation,3.3,WA,MORTGAGE,5883.33,710,2.0,6416.0,1.0,10+ years,1.0,1
81,3225,3225.0,7.62,36,debt_consolidation,17.79,CA,MORTGAGE,5833.33,760,5.0,70323.0,1.0,10+ years,0.0,1
82,23675,23675.0,17.77,36,credit_card,29.94,PA,OWN,6399.0,680,21.0,21920.0,0.0,10+ years,1.0,1
83,12000,12000.0,12.12,36,debt_consolidation,18.62,VA,RENT,5833.33,690,16.0,18838.0,0.0,10+ years,1.0,1
84,25000,25000.0,16.49,36,debt_consolidation,18.18,MA,RENT,6000.0,695,9.0,10630.0,2.0,7 years,1.0,1
85,16000,15850.0,11.12,36,credit_card,17.86,CA,MORTGAGE,6666.67,725,7.0,18659.0,4.0,5 years,0.0,1
86,4200,4175.0,8.9,36,car,10.16,NC,MORTGAGE,3041.67,810,4.0,1548.0,0.0,10+ years,0.0,1
87,10000,10000.0,14.09,36,debt_consolidation,21.45,CO,RENT,4583.33,675,11.0,8548.0,0.0,6 years,1.0,1
88,6000,6000.0,7.51,36,home_improvement,2.52,NJ,MORTGAGE,4800.0,750,4.0,1442.0,0.0,10+ years,0.0,1
89,6000,6000.0,13.11,36,debt_consolidation,15.33,KS,RENT,3333.33,685,7.0,12503.0,2.0,2 years,1.0,1
90,7925,7925.0,16.29,36,debt_consolidation,21.25,GA,RENT,2000.0,665,6.0,7840.0,0.0,6 years,1.0,1
91,16000,15925.0,7.62,36,debt_consolidation,6.48,IL,MORTGAGE,6000.0,765,8.0,19539.0,0.0,n/a,0.0,1
92,9525,9500.0,15.81,36,small_business,11.35,CA,RENT,2666.67,670,15.0,5610.0,1.0,n/a,1.0,1
93,6000,6000.0,14.35,36,debt_consolidation,14.08,IL,MORTGAGE,2500.0,675,9.0,3621.0,3.0,< 1 year,1.0,1
94,10000,9975.0,14.96,36,debt_consolidation,11.5,FL,MORTGAGE,5250.0,675,4.0,3035.0,5.0,2 years,1.0,1
95,7000,7000.0,6.62,36,major_purchase,8.03,NM,MORTGAGE,10000.0,750,9.0,6761.0,1.0,6 years,0.0,1
96,4500,4500.0,5.99,36,debt_consolidation,18.48,CA,MORTGAGE,10000.0,765,18.0,17863.0,3.0,6 years,0.0,1
97,12000,12000.0,11.14,36,debt_consolidation,2.37,MD,MORTGAGE,12500.0,735,13.0,10944.0,0.0,5 years,0.0,1
98,10375,10375.0,19.72,36,debt_consolidation,4.99,CT,RENT,4166.67,665,9.0,6122.0,1.0,5 years,1.0,1
99,4800,4800.0,18.75,36,other,10.89,NM,MORTGAGE,5833.33,670,8.0,17943.0,0.0,10+ years,1.0,1
100,6400,6400.0,13.11,36,credit_card,11.46,LA,MORTGAGE,4666.67,700,7.0,8942.0,1.0,10+ years,1.0,1
101,5000,5000.0,7.9,36,debt_consolidation,17.22,CA,OWN,4000.0,705,10.0,6023.0,0.0,10+ years,0.0,1
102,12000,12000.0,6.62,36,credit_card,21.66,NC,RENT,5250.0,740,11.0,20639.0,0.0,< 1 year,0.0,1
103,23850,23820.25,21.48,60,other,18.75,NY,MORTGAGE,4250.0,690,23.0,37251.0,0.0,4 years,1.0,1
104,15000,15000.0,10.65,36,small_business,16.15,OH,MORTGAGE,7083.33,720,14.0,338.0,2.0,9 years,0.0,1
105,8000,8000.0,7.62,36,other,0.0,NC,MORTGAGE,3500.0,765,7.0,0.0,1.0,n/a,0.0,1
106,20000,20000.0,6.03,36,credit_card,18.67,FL,MORTGAGE,14583.33,715,9.0,29044.0,0.0,7 years,0.0,1
107,20000,19975.0,13.11,36,debt_consolidation,15.09,NC,RENT,8233.33,710,17.0,29756.0,2.0,< 1 year,1.0,1
108,10000,10000.0,14.09,36,debt_consolidation,10.59,CA,RENT,2916.67,690,9.0,10390.0,3.0,< 1 year,1.0,1
109,18825,18825.0,14.09,36,credit_card,13.08,MI,RENT,4000.0,710,6.0,20694.0,1.0,4 years,1.0,1
110,35000,34975.0,7.9,36,small_business,1.59,IL,RENT,18333.33,775,10.0,1992.0,0.0,1 year,0.0,1
111,9000,9000.0,6.03,36,vacation,5.58,NJ,MORTGAGE,9583.33,815,11.0,675.0,0.0,n/a,0.0,1
112,4000,4000.0,6.17,36,home_improvement,15.0,CT,RENT,4234.0,745,5.0,587.0,1.0,2 years,0.0,1
113,5750,5750.0,13.99,36,credit_card,12.44,CA,RENT,5000.0,660,13.0,12465.0,0.0,10+ years,1.0,1
114,20950,20950.0,15.8,36,debt_consolidation,15.71,MA,MORTGAGE,12916.67,690,8.0,30188.0,1.0,4 years,1.0,1
115,8000,8000.0,10.99,36,credit_card,14.76,NY,RENT,7500.0,710,9.0,7120.0,2.0,< 1 year,0.0,1
116,10000,10000.0,10.16,36,debt_consolidation,9.3,TX,MORTGAGE,3333.33,725,8.0,8940.0,2.0,n/a,0.0,1
117,10000,10000.0,14.09,36,small_business,14.76,NY,RENT,5000.0,675,7.0,4762.0,0.0,4 years,1.0,1
118,14000,14000.0,6.03,36,credit_card,19.53,CT,MORTGAGE,6000.0,765,13.0,4140.0,0.0,8 years,0.0,1
119,5000,5000.0,7.66,36,credit_card,3.33,RI,RENT,9000.0,735,3.0,12297.0,0.0,10+ years,0.0,1
120,25000,25000.0,19.05,60,debt_consolidation,10.53,IL,MORTGAGE,6250.0,700,8.0,15159.0,1.0,9 years,1.0,1
121,35000,35000.0,8.9,36,debt_consolidation,14.62,CA,RENT,10416.67,735,9.0,21321.0,0.0,10+ years,0.0,1
122,7200,7175.0,11.14,36,debt_consolidation,27.89,OK,MORTGAGE,3750.0,690,8.0,20342.0,0.0,10+ years,0.0,1
123,14000,14000.0,8.49,60,debt_consolidation,9.89,CA,MORTGAGE,9000.0,760,17.0,23773.0,0.0,4 years,0.0,1
124,15000,14975.0,15.21,36,debt_consolidation,19.1,TX,RENT,5132.0,680,4.0,34044.0,1.0,3 years,1.0,1
125,25000,25000.0,19.72,60,debt_consolidation,32.1,NY,OWN,4916.67,695,21.0,35208.0,1.0,7 years,1.0,1
126,10800,10800.0,14.65,36,debt_consolidation,7.89,CA,RENT,9583.33,675,6.0,6487.0,1.0,< 1 year,1.0,1
127,20000,20000.0,14.33,36,credit_card,21.44,GA,MORTGAGE,6250.0,700,9.0,14268.0,1.0,9 years,1.0,1
128,4000,4000.0,10.74,36,debt_consolidation,1.97,KS,RENT,2900.0,695,13.0,1869.0,1.0,n/a,0.0,1
129,16000,15950.0,15.7,36,debt_consolidation,23.51,OH,MORTGAGE,9333.33,675,20.0,12721.0,5.0,10+ years,1.0,1
130,1400,1400.0,9.76,36,vacation,27.14,NV,MORTGAGE,4683.33,730,6.0,6466.0,0.0,2 years,0.0,1
131,7500,7500.0,16.32,36,debt_consolidation,12.54,CA,MORTGAGE,4600.0,665,3.0,6120.0,0.0,2 years,1.0,1
132,24625,917.28,14.07,36,credit_card,12.81,NY,MORTGAGE,10000.0,675,14.0,33698.0,0.0,8 years,1.0,1
133,5000,5000.0,14.09,36,debt_consolidation,29.02,FL,MORTGAGE,5416.67,680,11.0,3977.0,1.0,< 1 year,1.0,1
134,25000,24975.0,9.91,36,debt_consolidation,20.49,NY,RENT,7916.67,725,14.0,27203.0,0.0,1 year,0.0,1
135,7500,7500.0,16.4,36,debt_consolidation,13.34,CA,RENT,4166.67,660,8.0,7430.0,0.0,< 1 year,1.0,1
136,34500,34450.0,6.62,36,small_business,16.46,CA,MORTGAGE,10000.0,805,8.0,5317.0,0.0,9 years,0.0,1
137,10000,10000.0,5.79,36,debt_consolidation,6.49,GA,MORTGAGE,12500.0,745,17.0,75629.0,0.0,1 year,0.0,1
138,3200,3200.0,9.88,36,debt_consolidation,6.51,MA,RENT,4500.0,740,7.0,3198.0,0.0,5 years,0.0,1
139,5500,5500.0,15.99,60,debt_consolidation,17.95,RI,RENT,4250.0,700,16.0,13256.0,0.0,10+ years,1.0,1
140,3000,3000.0,9.76,36,debt_consolidation,21.82,VA,OWN,1100.0,720,4.0,2413.0,0.0,n/a,0.0,1
141,18000,18000.0,23.28,60,debt_consolidation,9.05,WI,RENT,7083.33,660,6.0,13106.0,0.0,10+ years,1.0,1
142,10000,9700.0,9.63,36,debt_consolidation,13.77,OK,MORTGAGE,4190.0,735,6.0,1251.0,1.0,< 1 year,0.0,1
143,8800,8800.0,13.11,36,credit_card,16.73,WI,RENT,3150.25,700,13.0,14266.0,1.0,4 years,1.0,1
144,7000,7000.0,11.14,36,debt_consolidation,23.02,TX,MORTGAGE,6000.0,705,17.0,19634.0,2.0,6 years,0.0,1
145,8000,8000.0,13.11,36,debt_consolidation,19.01,AK,RENT,2625.0,725,8.0,7554.0,1.0,5 years,1.0,1
146,3000,3000.0,17.27,36,credit_card,16.62,SC,RENT,3833.33,660,4.0,4136.0,0.0,n/a,1.0,1
147,12000,11975.0,7.51,36,debt_consolidation,11.91,MD,RENT,7500.0,735,18.0,33702.0,1.0,10+ years,0.0,1
148,3600,3575.0,14.11,36,small_business,0.04,WI,RENT,2500.0,725,4.0,1.0,0.0,3 years,1.0,1
149,11625,11625.0,14.33,36,debt_consolidation,22.84,NY,MORTGAGE,2833.33,705,6.0,27411.0,2.0,8 years,1.0,1
150,30000,30000.0,21.49,36,credit_card,16.7,MD,MORTGAGE,12500.0,670,14.0,19096.0,2.0,9 years,1.0,1
151,16000,16000.0,8.9,36,debt_consolidation,19.71,CO,RENT,7083.33,720,11.0,6185.0,1.0,4 years,0.0,1
152,10800,10700.0,10.75,36,major_purchase,15.32,FL,MORTGAGE,8400.0,715,6.0,24675.0,0.0,10+ years,0.0,1
153,25000,23655.48,16.69,60,debt_consolidation,14.11,CO,MORTGAGE,7666.67,705,15.0,28748.0,3.0,8 years,1.0,1
154,10000,10000.0,13.98,60,other,14.86,MO,RENT,3916.67,710,9.0,5188.0,4.0,4 years,1.0,1
155,12375,275.0,10.91,36,small_business,16.39,VA,MORTGAGE,3892.75,690,11.0,8332.0,2.0,3 years,0.0,1
156,6000,6000.0,11.48,36,credit_card,18.2,NY,MORTGAGE,5031.67,705,9.0,50935.0,0.0,10+ years,0.0,1
157,8000,8000.0,13.49,36,debt_consolidation,14.92,CO,RENT,5000.0,685,18.0,4786.0,1.0,2 years,1.0,1
158,15000,15000.0,18.25,36,credit_card,9.73,GA,MORTGAGE,5000.0,660,11.0,14596.0,0.0,8 years,1.0,1
159,7000,7000.0,17.77,36,other,32.25,NY,RENT,3333.33,665,12.0,35604.0,3.0,7 years,1.0,1
160,8400,8400.0,6.92,36,renewable_energy,13.3,MD,RENT,3000.0,745,9.0,6998.0,1.0,1 year,0.0,1
161,15000,15000.0,7.9,36,debt_consolidation,18.62,PA,MORTGAGE,4500.0,740,10.0,17212.0,0.0,7 years,0.0,1
162,15000,14925.0,14.33,36,debt_consolidation,13.3,TX,RENT,5000.0,665,7.0,11368.0,1.0,< 1 year,1.0,1
163,2800,2800.0,10.16,36,major_purchase,12.0,NY,RENT,2083.33,695,7.0,7261.0,0.0,< 1 year,0.0,1
164,7750,7750.0,16.29,36,debt_consolidation,26.74,FL,MORTGAGE,2916.67,680,18.0,17102.0,0.0,5 years,1.0,1
165,4500,4500.0,8.9,36,credit_card,18.18,UT,RENT,2166.67,700,8.0,5361.0,0.0,4 years,0.0,1
166,17500,17375.0,12.53,36,debt_consolidation,21.63,CO,RENT,3666.67,715,7.0,20010.0,0.0,6 years,1.0,1
167,18000,18000.0,15.31,60,debt_consolidation,4.93,CA,RENT,5258.5,710,6.0,11596.0,0.0,10+ years,1.0,1
168,15000,14975.0,15.27,60,debt_consolidation,17.9,PA,MORTGAGE,2748.0,720,14.0,7956.0,1.0,6 years,1.0,1
169,6000,6000.0,15.23,36,credit_card,19.57,KS,OWN,4583.33,665,13.0,8077.0,1.0,1 year,1.0,1
170,11500,11475.0,11.14,36,credit_card,28.25,CA,RENT,2750.0,700,6.0,9079.0,0.0,5 years,0.0,1
171,10000,10000.0,13.11,36,credit_card,7.56,PA,RENT,2500.0,685,8.0,10906.0,0.0,7 years,1.0,1
172,12000,12000.0,8.9,36,credit_card,12.46,MD,RENT,5000.0,725,5.0,13940.0,0.0,10+ years,0.0,1
173,10000,10000.0,12.12,36,debt_consolidation,18.4,CA,MORTGAGE,5000.0,685,7.0,13202.0,0.0,10+ years,1.0,1
174,35000,34975.0,21.28,60,debt_consolidation,18.21,AL,RENT,7916.67,680,8.0,19789.0,2.0,10+ years,1.0,1
175,7200,7100.0,10.38,60,major_purchase,17.97,PA,RENT,3000.0,750,7.0,2753.0,1.0,2 years,0.0,1
176,4000,3975.0,7.9,60,car,4.48,TX,OWN,4000.0,800,16.0,6696.0,0.0,< 1 year,0.0,1
177,5300,5200.0,11.14,36,debt_consolidation,8.47,UT,MORTGAGE,8333.33,740,5.0,73258.0,1.0,3 years,0.0,1
178,1200,1200.0,7.62,36,other,8.69,NY,MORTGAGE,3833.33,730,14.0,350.0,1.0,7 years,0.0,1
179,2500,2500.0,11.14,36,major_purchase,10.08,CA,RENT,4333.33,720,4.0,4922.0,0.0,3 years,0.0,1
180,17000,16975.0,14.33,36,debt_consolidation,26.35,MN,OWN,7500.0,700,21.0,39130.0,3.0,10+ years,1.0,1
181,16000,16000.0,7.9,36,credit_card,12.3,CA,MORTGAGE,8416.67,695,14.0,21913.0,1.0,5 years,0.0,1
182,10000,9950.0,12.69,36,debt_consolidation,3.8,CA,MORTGAGE,6666.67,695,8.0,7967.0,1.0,3 years,1.0,1
183,5000,5000.0,10.16,36,debt_consolidation,24.5,AL,MORTGAGE,6250.0,700,9.0,33705.0,0.0,6 years,0.0,1
184,4375,4375.0,19.05,36,credit_card,9.09,CA,RENT,2916.67,670,9.0,6944.0,2.0,6 years,1.0,1
185,8500,8475.0,6.03,36,home_improvement,12.33,MO,MORTGAGE,6100.0,745,17.0,6370.0,0.0,10+ years,0.0,1
186,12000,12000.0,16.89,60,small_business,15.24,OH,MORTGAGE,7500.0,675,14.0,28589.0,2.0,3 years,1.0,1
187,6200,6100.0,8.59,36,other,19.1,WI,RENT,5000.0,740,17.0,9367.0,0.0,1 year,0.0,1
188,7000,7000.0,18.49,36,debt_consolidation,18.9,AR,MORTGAGE,2000.0,660,10.0,7315.0,2.0,1 year,1.0,1
189,20800,20800.0,12.69,60,debt_consolidation,7.08,GA,MORTGAGE,6541.67,730,9.0,13197.0,0.0,1 year,1.0,1
190,19200,19200.0,13.11,60,other,3.45,IL,MORTGAGE,8333.33,745,14.0,50625.0,3.0,2 years,1.0,1
191,22000,22000.0,15.8,60,debt_consolidation,21.32,KY,MORTGAGE,5416.67,700,9.0,10267.0,1.0,10+ years,1.0,1
192,15000,15000.0,19.05,36,debt_consolidation,24.88,AZ,RENT,6000.0,675,12.0,12162.0,0.0,1 year,1.0,1
193,7000,6965.1,19.47,36,debt_consolidation,17.08,NJ,RENT,5000.0,665,11.0,13859.0,0.0,3 years,1.0,1
194,20000,20000.0,8.9,36,credit_card,17.08,CO,RENT,4916.67,730,10.0,14952.0,2.0,4 years,0.0,1
195,2000,2000.0,6.17,36,moving,18.35,WA,RENT,5733.58,745,9.0,21998.0,0.0,3 years,0.0,1
196,18000,17738.58,10.59,60,major_purchase,15.03,OH,MORTGAGE,4000.0,755,9.0,6718.0,0.0,10+ years,0.0,1
197,20800,20775.0,11.48,36,home_improvement,21.77,CA,OWN,11666.67,790,6.0,682.0,1.0,10+ years,0.0,1
198,9000,8875.0,7.88,36,debt_consolidation,14.51,MA,MORTGAGE,5708.33,725,9.0,12217.0,0.0,7 years,0.0,1
199,6000,6000.0,14.09,36,credit_card,22.5,UT,RENT,2666.67,670,18.0,5955.0,0.0,10+ years,1.0,1
200,5000,5000.0,15.8,36,debt_consolidation,34.2,CA,RENT,3750.0,665,18.0,5414.0,3.0,3 years,1.0,1
201,12000,11975.0,14.83,60,credit_card,22.31,CA,RENT,4186.0,685,9.0,9398.0,0.0,3 years,1.0,1
202,7000,1998.0,8.0,36,credit_card,6.36,AZ,MORTGAGE,7583.33,750,9.0,21135.0,0.0,10+ years,0.0,1
203,6000,5950.0,10.0,36,major_purchase,8.74,FL,MORTGAGE,15416.67,715,9.0,105730.0,1.0,10+ years,0.0,1
204,17000,16975.0,13.98,36,debt_consolidation,17.65,TX,MORTGAGE,9166.67,700,14.0,16230.0,4.0,3 years,1.0,1
205,12000,11975.0,8.94,36,credit_card,18.99,TX,RENT,4750.0,750,13.0,25577.0,1.0,4 years,0.0,1
206,16350,16350.0,7.9,36,credit_card,25.03,MN,OWN,4541.67,730,7.0,25731.0,0.0,9 years,0.0,1
207,20000,20000.0,7.9,36,debt_consolidation,20.04,TX,MORTGAGE,4625.0,755,14.0,31335.0,1.0,10+ years,0.0,1
208,12300,12300.0,12.12,36,debt_consolidation,10.01,CA,RENT,6583.33,690,15.0,12450.0,0.0,1 year,1.0,1
